policy_id,policy_name,condition_id,condition_name,condition_query,condition_enabled
251,Team: Alerts NRQL Evaluation Pipeline,306227,To Many Traces,SELECT uniqueCount(account_id) FROM AlertsPipelineTrace,True
251,Team: Alerts NRQL Evaluation Pipeline,112624,Production APM Percentile Evaluation is being used,SELECT count(*) from AlertsConditionCrudEvents where crud_event_name = 'condition' and condition_domain = 'event_evaluation_service' and condition_type = 'app_metric',False
251,Team: Alerts NRQL Evaluation Pipeline,107729,Production NRQL Evaluation is being used,SELECT count(*) from AlertsConditionCrudEvents where crud_event_name = 'condition' and condition_domain = 'event_evaluation_service' and condition_type = 'query',False
258,Security,164950,Possible Password Shotgun Attack (Corp Okta),SELECT uniqueCount(target) FROM OktaEvents WHERE outcome = 'FAILURE',False
258,Security,164946,Possible Brute Force Attack (Corp Okta),SELECT count(*) FROM OktaEvents WHERE outcome = 'FAILURE',False
258,Security,164940,Okta Sign-In from Prohibited Country,"SELECT count(*) FROM OktaEvents WHERE outcome = 'SUCCESS' and category ='user.session.start' AND srcCountry IN ('Cuba','Iran','North Korea','Syria','Ukraine','China','Russia','Venezuela','Sudan')",True
258,Security,164932,Canary Event Detected,SELECT count(*) FROM Canary,True
274,Team: Alerts NRQL Production Primary OnCall,296873,Violation Sev 1 - ILS not publishing Incident Lifecycle Events,SELECT count(*) from AlertsIncidentLifecycleEvents,False
274,Team: Alerts NRQL Production Primary OnCall,288480,Violation Sev 1 - No Incident Lifecycle Events Consumption,SELECT count(*) FROM AlertsWorkflowIncidentLifecycleEvents,False
274,Team: Alerts NRQL Production Primary OnCall,274978,Violation Sev 5 - No Staging Notifications,SELECT count(*) from AlertingNotifications_Staging,False
274,Team: Alerts NRQL Production Primary OnCall,231376,Violation Sev 2 - No Servers Violations Created,SELECT count(*) from AlertsRecentEvents where recentEventType LIKE 'VIOLATION%' AND targetProduct = 'APM',False
274,Team: Alerts NRQL Production Primary OnCall,231375,Violation Sev 2 - No Plugins Violations Created,SELECT count(*) from AlertsRecentEvents where recentEventType LIKE 'VIOLATION%' AND targetProduct = 'APM',False
274,Team: Alerts NRQL Production Primary OnCall,231374,Violation Sev 2 - No Mobile Violations Created,SELECT count(*) from AlertsRecentEvents where recentEventType LIKE 'VIOLATION%' AND targetProduct = 'APM',False
274,Team: Alerts NRQL Production Primary OnCall,231373,Violation Sev 2 - No Browser Violations Created,SELECT count(*) from AlertsRecentEvents where recentEventType LIKE 'VIOLATION%' AND targetProduct = 'APM',False
274,Team: Alerts NRQL Production Primary OnCall,231372,Violation Sev 2 - No APM Violations Created,SELECT count(*) from AlertsRecentEvents where recentEventType LIKE 'VIOLATION%' AND targetProduct = 'APM',False
274,Team: Alerts NRQL Production Primary OnCall,231366,Violation Sev 2 - No Infrastructure Violations Created,SELECT count(*) from AlertsRecentEvents where recentEventType LIKE 'VIOLATION%' AND targetProduct = 'INFRASTRUCTURE',False
274,Team: Alerts NRQL Production Primary OnCall,231365,Violation Sev 2 - No Synthetics Violations Created,SELECT count(*) from AlertsRecentEvents where recentEventType LIKE 'VIOLATION%' AND targetProduct = 'SYNTHETICS',False
274,Team: Alerts NRQL Production Primary OnCall,231363,Violation Sev 1 - No Violations Created,SELECT count(*) from AlertsRecentEvents where recentEventType LIKE 'VIOLATION%',False
282,Egress Monitoring HB1 Agents,123448,Gigamon Traffic Below Threshold,SELECT count(*) from IpfixEgress WHERE Agent LIKE '10.1.250.63',False
282,Egress Monitoring HB1 Agents,123447,Gigamon Traffic Below Threshold,SELECT count(*) from IpfixEgress WHERE Agent LIKE '10.1.250.64',False
326,Team: Alerts upboard-1036 check,120371,Synthetics failing to send notifications through Alerts,SELECT count(successful) FROM AlertingNotifications WHERE appName='Notification Service - Production' and details LIKE '%Monitor failed%',False
392,Lauren Voswinkel's policy,171045,AUC MySQL connection issue alerts,SELECT COUNT(*) FROM TransactionError where appId = 367589 and `error.message` like '%Mysql2::Error%',True
403,Oisin Buckley's policy,235470,New Condition,"SELECT percentage(count(*), WHERE result = 'SUCCESS' AND MonitorType = 'SimplePing' ) FROM SyntheticCheck WHERE type = 'SIMPLE' AND monitorName LIKE'%SSM%' AND error NOT LIKE 'SSLTimeoutError%' WHERE (DC = 'DAL06' OR DC = 'DAL09' OR DC = 'TOR01' OR DC = 'US21' AND hourOf(timestamp) NOT IN ('22:00','23:00') AND (weekdayOf(timestamp) = 'Saturday') OR ( weekdayOf(timestamp) != 'Saturday') AND ( hourOf(timestamp) NOT IN ('0:00','1:00','2:00','3:00','4:00','5:00') AND weekdayOf(timestamp) = 'Sunday') OR ( weekdayOf(timestamp) != 'Sunday')) OR (DC = 'LON02' AND (hourOf(timestamp) NOT IN ('17:00','18:00','19:00','20:00','21:00','22:00','23:00') AND weekdayOf(timestamp) = 'Saturday') OR ( weekdayOf(timestamp) != 'Saturday') AND ( hourOf(timestamp) NOT IN ('0:00') AND weekdayOf(timestamp) = 'Sunday') OR ( weekdayOf(timestamp) != 'Sunday'))",False
403,Oisin Buckley's policy,212894,Monitor Test OisinB,SELECT uniqueCount(location) from SyntheticCheck where result = 'FAILED',False
429,Rafael Ferreira's policy,205432,Tessen data missing,SELECT uniqueCount(email) FROM PageAction WHERE category IS NOT NULL AND nr_product = 'SYN',True
468,Account Rescue - Failure to Create Account,213148,Account Rescue Failure,SELECT count(*) from AccountEvent where action = 'AccountRescue' and rescue_result = 'rescue_fail',True
470,Account Rescue - Rescued Account Mismatch to Last Paid Account,213206,Rescued Account Mismatch to Last Paid Account,SELECT count(*) from RescuedSubscriptionDidNotMatchLastPaid,True
11218,Team: Alerts - Staging Notifications,294885,Staging Notifications,SELECT count(*) from AlertingNotifications_Staging,False
12245,Roger Gilliam's policy2,1056077,Facet Test,SELECT count(*) from TransactionError where appName='Alert Service - Production' facet transactionUiName,False
12245,Roger Gilliam's policy2,314885,RG TESTING,SELECT count(*) from PageView where appName='Alerting UI - Production',False
13176,Team: Alerts  Internal SLAs,365518,Pager Duty Integration - Production,SELECT count(*) FROM AlertingNotifications WHERE channelType = 'PAGERDUTY' and successful IS TRUE,False
13176,Team: Alerts  Internal SLAs,251337,Sev2 Timeliness SLA Watch,"SELECT percentage( COUNT(*), WHERE environment = 'production' and reportedAtLatencySeconds < 600) FROM AlertsNotificationLatency",False
13176,Team: Alerts  Internal SLAs,227965,No Notifications Sent and Recieved,SELECT count(*) from AlertingNotifications WHERE appName='Notification Service - Production' AND successful is true and response != 'Sent notification to 0 mobile device(s).',False
13176,Team: Alerts  Internal SLAs,227964,No Evaluation Violation Opened Events,SELECT count(*) FROM AlertingEvaluations WHERE type = 'ViolationOpened',False
13176,Team: Alerts  Internal SLAs,227963,No Hawthrorne KPI Events,SELECT count(*) FROM AlertsHawthorneKpi,False
13176,Team: Alerts  Internal SLAs,220838,Internal Timeliness SLA,"SELECT percentage( COUNT(*), WHERE environment = 'production' and reportedAtLatencySeconds < 300) FROM AlertsNotificationLatency",False
13271,Team: Alerts - Tracer,732915,Missing Notification Receipts,SELECT count(*) FROM AlertsTracer WHERE environment = 'production' AND query_name = 'missing_notification_receipts',False
13271,Team: Alerts - Tracer,221072,Tracer Alive?,SELECT count(*) FROM AlertsTracer,True
18644,Mobile - Service Gateway 503 Errors,237565,Crash Analysis Request to SG Return 503,SELECT count(*)  from Transaction where appName = 'Service Gateway Production' and `request.headers.referer` like '%crash_analysis%' where httpResponseCode = '503',False
23615,David Parrott's Policy,251497,Found a bad incident,SELECT count(*) FROM AlertsTracer WHERE query_name = 'open_incidents_with_no_critical_violations',True
24464,Team: Alerts Severity 2,251646,Synthetics Alerts Sev2 Watch,"SELECT percentage( COUNT(*), WHERE environment LIKE '%production'and latencySeconds < 600) FROM AlertsNotificationLatency where targetProduct = 'SYNTHETICS'",False
24464,Team: Alerts Severity 2,251645,Plugins Alerts Sev2 Watch,"SELECT percentage( COUNT(*), WHERE environment LIKE '%production'and latencySeconds < 600) FROM AlertsNotificationLatency where targetProduct = 'PLUGINS'",False
24464,Team: Alerts Severity 2,251644,Servers Alerts Sev2 Watch,"SELECT percentage( COUNT(*), WHERE environment LIKE '%production'and latencySeconds < 600) FROM AlertsNotificationLatency where targetProduct = 'SERVERS'",False
24464,Team: Alerts Severity 2,251643,NRQL Alerts Sev2 Watch,"SELECT percentage( COUNT(*), WHERE environment LIKE '%production'and latencySeconds < 600) FROM AlertsNotificationLatency where targetProduct = 'NRQL'",False
24464,Team: Alerts Severity 2,251642,Mobile Alerts Sev2 Watch,"SELECT percentage( COUNT(*), WHERE environment LIKE '%production'and latencySeconds < 600) FROM AlertsNotificationLatency where targetProduct = 'MOBILE'",False
24464,Team: Alerts Severity 2,251641,Infrastructure Alerts Sev2 Watch,"SELECT percentage( COUNT(*), WHERE environment LIKE '%production'and latencySeconds < 600) FROM AlertsNotificationLatency where targetProduct = 'INFRASTRUCTURE'",False
24464,Team: Alerts Severity 2,251640,Browser Alerts Sev2 Watch,"SELECT percentage( COUNT(*), WHERE environment LIKE '%production'and latencySeconds < 600) FROM AlertsNotificationLatency where targetProduct = 'BROWSER'",False
24464,Team: Alerts Severity 2,251639,APM Alerts Sev2 Watch,"SELECT percentage( COUNT(*), WHERE environment LIKE '%production'and latencySeconds < 600) FROM AlertsNotificationLatency where targetProduct = 'APM'",False
29427,MMF Completed,266930,More than zero MMFs completed in past one minute,SELECT count(*) from mmf_done,False
31617,Portal Usage by a Customer,272455,more than zero customer actions,SELECT count(*) from PageAction where appName = 'apm-code-portal-production' and email not like '%@newrelic.com' and customer_account_id != 694081,False
39457,Container Fabric (AEDC Max Lag),288616,CF AEDC max lag,select max(secondsLag) FROM ConsumerLag WHERE cluster = 'prod' and topic = 'edge_analytic_event_data' and group = 'edge_analytic_event_data_consumers_cf',True
46823,Esteban Gutierrez's policy,305849,New outbound SSH Connection,"SELECT  uniquecount(destinationIPv4Address)  FROM IpfixEgress WHERE destinationTransportPort IN (22,2222) and destinationIPv4Address NOT IN ('38.129.65.3','209.163.151.172','50.16.174.234','192.30.253.113', '172.16.129.%', '162.247.240.4','172.16.128.%','172.16.129.%')",False
52947,Team: Alerts Kermit,322340,Kermit Generator #7 (canary test),SELECT average(rogerDoger) from AlertsKermitTest,True
52947,Team: Alerts Kermit,322339,Kermit Generator #6 (canary test),SELECT average(rogerDoger) from AlertsKermitTest,True
52947,Team: Alerts Kermit,322336,Kermit Generator #5 (canary test),SELECT min(rogerDoger) from AlertsKermitTest,True
52947,Team: Alerts Kermit,322335,Kermit Generator #3 (canary test),SELECT average(rogerDoger) from AlertsKermitTest where appName = 'Kermit:  kermitBeat',True
52947,Team: Alerts Kermit,322334,Kermit Generator #2 (canary test),SELECT average(rogerDoger) from AlertsKermitTest where appName = 'Kermit:  kermitBeat',True
52947,Team: Alerts Kermit,322333,Kermit Generator #1 (canary test),SELECT average(rogerDoger) from AlertsKermitTest where appName = 'Kermit:  kermitBeat',True
58294,Team: Alerts Pipeline - Production - Low Instance Count,333676,Pipeline Service Instances Killed (Production),"SELECT count(*) FROM LogLine WHERE SERVICE_NAME IN ('metric_router_service', 'metric_hydration_service', 'metric_timeslice_aggregation_service', 'metric_timeslice_buffer_service', 'time_series_buffer_service', 'time_series_evaluation_service', 'baseline_mapper_service', 'nrql_condition_mapper', 'nrql_condition_service', 'evaluation_cache_builder_service', 'evaluation_cache_snapshot_service') AND SERVICE_ENV = 'production' AND payload LIKE '%SIGKILL%' AND payload NOT LIKE '%SELECT count(*) FROM LogLine%'",True
58982,Team: Alerts Interfaces - Prod - ILS,335108,Incident key discrepancy check,SELECT count(*) from AlertsLifecyclePipelineStageEvents where status='bad_data' and appName='Incident Lifecycle Service - Production',True
59387,RPM Wranglers - Solano Scribe Running,336125,solano-scribe Not Running,"SELECT Rate(Count(*), 1 hour) FROM SolanoScribeCanary 
",True
60316,Pearson NR hosted private minions,338723,SA-Minion-3,SELECT count(*) from Synthetics where minionId ='5a61c9d5-eaea-476a-a86a-7cc9eee2ec3f',False
60316,Pearson NR hosted private minions,338722,SA-Minion-6,SELECT count(*) from Synthetics where minionId ='681a3b93-964b-41c0-8b41-09a547029f3f',False
60316,Pearson NR hosted private minions,338721,HK-Minion-4,SELECT count(*) from Synthetics where minionId ='ddacf8d7-6add-4b37-90ac-b287e06aec6e',False
60316,Pearson NR hosted private minions,338720,HK-Minion-3,SELECT count(*) from Synthetics where minionId ='f402bbd2-3b3c-418f-b28f-037aa7f355b9',False
60316,Pearson NR hosted private minions,338719,IN-Minion-3,SELECT count(*) from Synthetics where minionId ='f2efd7db-6e65-4f47-a7c0-120cb16c0410',False
60316,Pearson NR hosted private minions,338718,ZA-Minion-4,SELECT count(*) from Synthetics where minionId ='f89171ac-6edb-40a2-92dd-7f95fb2b3987',False
60316,Pearson NR hosted private minions,338717,ZA-Minion-3,SELECT count(*) from Synthetics where minionId = 'e891d85c-9045-4b17-8136-b91ae1f6eb79',False
60316,Pearson NR hosted private minions,338704,IN-Minion-4,SELECT count(*) from Synthetics where minionId = '63dcb95b-ed80-4383-ad27-813251f16a46',False
61500,Audit Manager Notifications,341425,Audit Error,SELECT COUNT(*) FROM AuditEvent WHERE audit_error IS NOT NULL,True
65106,Rebecca Holzschuh's policy,350161,Sharing to Slack,SELECT count(*) from PageAction WHERE nr_product = 'SYMR' where user_action = 'clickedShareToSlack',True
